code,name,area,age,email,role,emotion_score
201215114,Paz Trillo Frías,Administración y negocios digitales,35,ptrillo@utec.edu.pe,Docente,0
202215137,Amor Iriarte Solís,Administración y negocios digitales,51,airiarte@utec.edu.pe,Docente,0
201715148,Gisela Piñeiro Mena,Administración y negocios digitales,57,gpineiro@utec.edu.pe,Docente,0
202015100,Angelino Río Torrens,Administración y negocios digitales,48,ario@utec.edu.pe,Docente,0
202315136,Elisa Valentín Andres,Administración y negocios digitales,45,evalentin@utec.edu.pe,Docente,0
201915120,Nerea Escolano Jove,Administración y negocios digitales,62,nescolano@utec.edu.pe,Docente,0
201515128,Natalio Murillo Castelló,Administración y negocios digitales,40,nmurillo@utec.edu.pe,Docente,0
201015142,Marcelino Tamarit Balaguer,Administración y negocios digitales,48,mtamarit@utec.edu.pe,Docente,0
201915118,Valentina Nuria Aliaga Royo,Administración y negocios digitales,46,valiaga@utec.edu.pe,Docente,0
202115132,Galo Zamora Guillen,Administración y negocios digitales,44,gzamora@utec.edu.pe,Docente,0
202015126,Yaiza Mendez Ballesteros,Administración y negocios digitales,41,ymendez@utec.edu.pe,Docente,0
201615135,María Dolores Ferrera Abascal,Administración y negocios digitales,65,mferrera@utec.edu.pe,Docente,0
202015187,Ibán Calixto Alcolea Fabregat,Administración y negocios digitales,34,ialcolea@utec.edu.pe,Asistente,0
202315192,Jose Ramón Giner Maldonado,Administración y negocios digitales,27,jginer@utec.edu.pe,Asistente,0
202115156,Lara Coronado Carlos,Administración y negocios digitales,23,lcoronado@utec.edu.pe,Asistente,0
202315194,Zacarías Godoy Galiano,Administración y negocios digitales,34,zgodoy@utec.edu.pe,Asistente,0
202315171,Juan Pablo Guzmán Giménez,Administración y negocios digitales,27,jguzman@utec.edu.pe,Asistente,0
202320399,Estefanía Iglesia Pomares,Administración y negocios digitales,17,estefania.iglesia@utec.edu.pe,Alumno,0
202310391,Marcial Martín Rocamora,Administración y negocios digitales,19,marcial.martin@utec.edu.pe,Alumno,0
202320484,Silvestre Bravo Castro,Administración y negocios digitales,21,silvestre.bravo@utec.edu.pe,Alumno,0
202310252,Cleto Catalá Nadal,Administración y negocios digitales,18,cleto.catala@utec.edu.pe,Alumno,0
202310351,Aitana Pérez Pujadas,Administración y negocios digitales,22,aitana.perez@utec.edu.pe,Alumno,0
202310312,Armida África Sotelo Acuña,Administración y negocios digitales,19,armida.sotelo@utec.edu.pe,Alumno,0
202320450,Godofredo Larrea Llamas,Administración y negocios digitales,17,godofredo.larrea@utec.edu.pe,Alumno,0
202320210,Urbano Calderón Gilabert,Administración y negocios digitales,21,urbano.calderon@utec.edu.pe,Alumno,0
202320359,Jaime Izquierdo Frutos,Administración y negocios digitales,22,jaime.izquierdo@utec.edu.pe,Alumno,0
202310202,Concepción Toro Díez,Administración y negocios digitales,20,concepcion.toro@utec.edu.pe,Alumno,0
202320228,Iris Rubio Guerra,Administración y negocios digitales,23,iris.rubio@utec.edu.pe,Alumno,0
202320251,Roberto Pol Yáñez,Administración y negocios digitales,22,roberto.pol@utec.edu.pe,Alumno,0
202320365,Dominga Aurelia Azorin Bonet,Administración y negocios digitales,18,dominga.azorin@utec.edu.pe,Alumno,0
202320323,Alejandro Saura Higueras,Administración y negocios digitales,22,alejandro.saura@utec.edu.pe,Alumno,0
202310386,Pascual Alvarado Quintana,Administración y negocios digitales,20,pascual.alvarado@utec.edu.pe,Alumno,0
202320506,Nicolasa Carreras Peña,Administración y negocios digitales,19,nicolasa.carreras@utec.edu.pe,Alumno,0
202310338,Leoncio Alvarez Alberola,Administración y negocios digitales,20,leoncio.alvarez@utec.edu.pe,Alumno,0
202310227,Soledad Sarita Mayoral Blanco,Administración y negocios digitales,19,soledad.mayoral@utec.edu.pe,Alumno,0
202310425,Marciano Múñiz Pou,Administración y negocios digitales,20,marciano.muniz@utec.edu.pe,Alumno,0
202310430,Chus Carro Osorio,Administración y negocios digitales,23,chus.carro@utec.edu.pe,Alumno,0
202310263,Juan Bautista Bermúdez Real,Administración y negocios digitales,18,juan.bermudez@utec.edu.pe,Alumno,0
202310407,Remedios Pagès Peiró,Administración y negocios digitales,16,remedios.pages@utec.edu.pe,Alumno,0
202320340,Severiano Saura Pont,Administración y negocios digitales,19,severiano.saura@utec.edu.pe,Alumno,0
202310336,Rico Granados Casals,Administración y negocios digitales,18,rico.granados@utec.edu.pe,Alumno,0
202310432,Nacho Heredia Iriarte,Administración y negocios digitales,19,nacho.heredia@utec.edu.pe,Alumno,0
202320482,Tatiana Guardiola Echevarría,Administración y negocios digitales,19,tatiana.guardiola@utec.edu.pe,Alumno,0
202320503,Alfredo Pío Patiño Ibañez,Administración y negocios digitales,21,alfredo.patino@utec.edu.pe,Alumno,0
202310250,Ildefonso Frutos Garmendia,Administración y negocios digitales,20,ildefonso.frutos@utec.edu.pe,Alumno,0
202320423,Eleuterio Cid Echevarría,Administración y negocios digitales,16,eleuterio.cid@utec.edu.pe,Alumno,0
202310375,Arsenio Casanova Carro,Administración y negocios digitales,16,arsenio.casanova@utec.edu.pe,Alumno,0
202320381,Gala Garay Solsona,Administración y negocios digitales,21,gala.garay@utec.edu.pe,Alumno,0
202310203,Alexandra Morata Parra,Administración y negocios digitales,22,alexandra.morata@utec.edu.pe,Alumno,0
202310410,Sofía Escamilla Badía,Administración y negocios digitales,20,sofia.escamilla@utec.edu.pe,Alumno,0
202310205,Eusebio Aranda Segarra,Administración y negocios digitales,18,eusebio.aranda@utec.edu.pe,Alumno,0
202310468,Sosimo Tamayo Bermejo,Administración y negocios digitales,16,sosimo.tamayo@utec.edu.pe,Alumno,0
202320218,Rosaura Chacón Paredes,Administración y negocios digitales,21,rosaura.chacon@utec.edu.pe,Alumno,0
202320244,Martín Moreno Garcés,Administración y negocios digitales,16,martin.moreno@utec.edu.pe,Alumno,0
202320339,Itziar Grau Adán,Administración y negocios digitales,20,itziar.grau@utec.edu.pe,Alumno,0
202320311,Ruben Sales Valentín,Administración y negocios digitales,18,ruben.sales@utec.edu.pe,Alumno,0
202310392,Basilio Ávila Valle,Administración y negocios digitales,23,basilio.avila@utec.edu.pe,Alumno,0
202320458,Lucas Calvet Royo,Administración y negocios digitales,19,lucas.calvet@utec.edu.pe,Alumno,0
202310349,Demetrio Rosa Arnau,Administración y negocios digitales,18,demetrio.rosa@utec.edu.pe,Alumno,0
202320492,Mario Mariscal Naranjo,Administración y negocios digitales,21,mario.mariscal@utec.edu.pe,Alumno,0
