code,name,area,age,email,role
202200136,Hugo Herminio Rojas Acedo,Ciencias,42,hrojas@utec.edu.pe,Docente
201400142,Evelia Segovia Naranjo,Ciencias,55,esegovia@utec.edu.pe,Docente
202100141,Gil Grau Molina,Ciencias,39,ggrau@utec.edu.pe,Docente
201100148,Crescencia Barco Escudero,Ciencias,50,cbarco@utec.edu.pe,Docente
201000120,Luisina Pera Coca,Ciencias,52,lpera@utec.edu.pe,Docente
202000146,Vidal Haro Alberola,Ciencias,44,vharo@utec.edu.pe,Docente
201000121,Priscila Bosch Arana,Ciencias,55,pbosch@utec.edu.pe,Docente
202000102,Evangelina Menéndez Ocaña,Ciencias,25,emenendez@utec.edu.pe,Docente
201500113,Merche Dominga Palacios Mancebo,Ciencias,38,mpalacios@utec.edu.pe,Docente
201900112,Antonia Tenorio Duque,Ciencias,45,atenorio@utec.edu.pe,Docente
202200144,Leopoldo Blazquez Roma,Ciencias,35,lblazquez@utec.edu.pe,Docente
201100119,Anselma Barba Mir,Ciencias,37,abarba@utec.edu.pe,Docente
202200116,Herberto Cleto Zabaleta Amaya,Ciencias,52,hzabaleta@utec.edu.pe,Docente
201500143,Domitila España Vilanova,Ciencias,50,despana@utec.edu.pe,Docente
201700101,Ofelia Ángel Roig,Ciencias,34,oangel@utec.edu.pe,Docente
202300100,Reina Saturnina Manrique Manzano,Ciencias,46,rmanrique@utec.edu.pe,Docente
201700127,Andrés Porta Tejedor,Ciencias,54,aporta@utec.edu.pe,Docente
201100131,Adolfo Escudero Benito,Ciencias,49,aescudero@utec.edu.pe,Docente
201600128,Felicidad Oliva Lobo,Ciencias,34,foliva@utec.edu.pe,Docente
202000138,Nazaret Anguita Ródenas,Ciencias,40,nanguita@utec.edu.pe,Docente
201700109,Che Durán Canet,Ciencias,41,cduran@utec.edu.pe,Docente
202100182,Remigio Luz Figuerola,Ciencias,33,rluz@utec.edu.pe,Asistente
202000167,Leonel Costa Chamorro,Ciencias,27,lcosta@utec.edu.pe,Asistente
202300188,Tadeo Vendrell Marí,Ciencias,27,tvendrell@utec.edu.pe,Asistente
202000185,Carmelo Oliver Uría,Ciencias,34,coliver@utec.edu.pe,Asistente
201701117,Juan Manuel Merino Díez,Ingeniería Química,56,jmerino@utec.edu.pe,Docente
202201140,Celso Monreal Herrera,Ingeniería Química,61,cmonreal@utec.edu.pe,Docente
201601138,Damián Cañizares Terrón,Ingeniería Química,42,dcanizares@utec.edu.pe,Docente
201601123,Máxima María Cristina Borrego Solsona,Ingeniería Química,61,mborrego@utec.edu.pe,Docente
202001120,Plinio Abascal Pazos,Ingeniería Química,63,pabascal@utec.edu.pe,Docente
201301148,Macaria Marti Caballero,Ingeniería Química,40,mmarti@utec.edu.pe,Docente
202201108,Wálter Blazquez Bartolomé,Ingeniería Química,53,wblazquez@utec.edu.pe,Docente
201901127,Manola Albero Tomé,Ingeniería Química,27,malbero@utec.edu.pe,Docente
201701149,Joel Batalla Batalla,Ingeniería Química,39,jbatalla@utec.edu.pe,Docente
202101136,Begoña Huertas Mendizábal,Ingeniería Química,29,bhuertas@utec.edu.pe,Docente
201201107,Selena Alegre Malo,Ingeniería Química,41,salegre@utec.edu.pe,Docente
201401113,Goyo Losada Bernat,Ingeniería Química,39,glosada@utec.edu.pe,Docente
201601114,Anna Suarez Cuesta,Ingeniería Química,62,asuarez@utec.edu.pe,Docente
201701103,Casandra Chelo Pellicer Raya,Ingeniería Química,36,cpellicer@utec.edu.pe,Docente
201001139,Asunción Briones Pablo,Ingeniería Química,47,abriones@utec.edu.pe,Docente
202301156,Mohamed Cózar Arana,Ingeniería Química,26,mcozar@utec.edu.pe,Asistente
202001171,Espiridión Morera Beltran,Ingeniería Química,23,emorera@utec.edu.pe,Asistente
201901160,Abigaíl Salgado Feliu,Ingeniería Química,29,asalgado@utec.edu.pe,Asistente
202301164,Odalys Aznar Hernando,Ingeniería Química,29,oaznar@utec.edu.pe,Asistente
201901183,Isa Beltrán Aguado,Ingeniería Química,26,ibeltran@utec.edu.pe,Asistente
